term,diff
check,-6.718928542385593e-05
fantasy,-6.55470291509759e-05
fit,-6.357309738755005e-05
sad,-6.027824076977259e-05
awful,-5.944200059058622e-05
people country,-5.91341792856991e-05
trash,-5.874170606502238e-05
cause,-5.840372941392672e-05
financial,-5.722039626737495e-05
main,-5.692951339002596e-05
pro,-5.5889402183409887e-05
thief,-5.321224799675905e-05
afraid,-5.267283374535132e-05
stuff,-5.0758257706721554e-05
street,-4.788576445018404e-05
age,-4.341777075559809e-05
people stupid,-4.1834571606099076e-05
laptop,-4.13628780948596e-05
nazis,-4.0770985170712727e-05
amazing,-3.652064305617803e-05
blame,-3.4661843262589e-05
deep state,-3.3950086012908315e-05
value,-3.2909361158224766e-05
choice,-3.1849595295918055e-05
hotel,-3.157789893260384e-05
mayor,-2.7420828681277087e-05
dollar,-2.6463539942846734e-05
nasty,-2.620913298772892e-05
year old,-2.4574406260238855e-05
air,-2.3583465460403274e-05
poll,-2.3181115955733236e-05
clear,-2.1881636905493043e-05
table,-2.102923025887988e-05
wealthy,-2.0225940307655812e-05
establishment,-1.717584039293696e-05
sense,-1.712558184788519e-05
gender,-1.572487867746732e-05
candidate,-1.4813178287373873e-05
half,-1.4101527909671685e-05
expense,-1.1991011700064082e-05
ted,-9.08410282614221e-06
filthy,-6.831919035824008e-06
line,-4.351968666597983e-06
aid,-3.5230723642296936e-06
bad,-2.582303569295674e-06
mirror,-1.629446741236839e-06
cover,3.5359574346110166e-08
anti,3.5240273169494588e-06
start,3.6543162161761984e-06
legitimate,3.961327038227633e-06
denial,5.656014938859545e-06
silent,8.052332764657555e-06
interview,1.1574761221750979e-05
personal,1.412400137182899e-05
arm,1.4148351231792688e-05
actor,1.4326454351238705e-05
past,1.5301392105275015e-05
price,1.5998513735592836e-05
seat,1.812092957550923e-05
buffoon,1.9399596027160917e-05
foot,2.2216129633803182e-05
event,2.2553391088623697e-05
lord,2.270973538592532e-05
care,2.4018891788985105e-05
union,2.417913373252645e-05
knowledge,2.8840032399019477e-05
trump biden,2.9320257876143125e-05
direction,3.1615763265943316e-05
tired,3.169751263418783e-05
today,3.175681107826073e-05
florida,3.349876882893809e-05
hard,3.3874581231994536e-05
gop,3.3917062896970246e-05
result,3.4987166132248795e-05
naive,3.735591780661845e-05
donald trump,3.98656639946076e-05
bush,4.104674956206399e-05
safe,4.136166617966261e-05
ground,4.1910961350151974e-05
violence,4.3889529362213975e-05
solution,4.713514462675059e-05
home,4.772359378084996e-05
uk,4.790217571885359e-05
taliban,4.871169032494326e-05
foreigner,4.964041627063677e-05
rat,4.9805312729896925e-05
intelligent,5.00493759626559e-05
billion,5.1086721358834365e-05
minute,5.462814875319155e-05
piece,5.463946280785908e-05
mandate,5.953718876721434e-05
creepy,6.048628644789796e-05
opposite,6.351906188455369e-05
chinese,6.378937320025452e-05
jan,6.672864729432193e-05
intelligence,6.71727193361461e-05
conspiracy,6.956593821111487e-05
governor,7.125406067296012e-05
ride,7.19976779863979e-05
usual,7.529205229301131e-05
door,7.70337356592101e-05
title,7.876462099870997e-05
family member,7.929717111294053e-05
test,8.17043912930566e-05
fair,8.300085547727318e-05
coup,8.463263229785975e-05
content,8.67378070723589e-05
biden country,8.69696885628027e-05
gang,8.7068021211764e-05
single,8.79989030086127e-05
face,8.805505619340352e-05
jill,8.829912217820615e-05
blue,8.841867562734768e-05
fan,8.936944454187895e-05
fat,9.051150618907469e-05
pedophile,9.392396199042795e-05
inept,9.40197072747657e-05
debt,0.0001008715806714843
cnn msnbc,0.00010090307761413371
mexican,0.00010566000602439337
abuse,0.00010711083705042062
waste,0.00010784927988003996
huge,0.00010803515923479498
movement,0.00010866798400687051
bar,0.00011072593641614812
illegal immigration,0.00011104370500049935
area,0.000111101486806939
concern,0.00011154967018562419
ben,0.00011202501655350854
decision,0.00011271677849287618
consequence,0.00011384162265040232
information,0.00011439977191752908
straight,0.00011476002849397735
biden idiot,0.0001172786316322533
pandemic,0.00011926161639318124
root,0.00012171791783861536
patrol,0.0001240234696331726
border patrol,0.0001240234696331726
scum,0.00012790458321496702
ideology,0.00012833865653902115
order,0.0001288959614178136
reality,0.00012995882076112346
million,0.00013003023474593054
agent,0.00013052457178235857
complete,0.0001321439575386349
thank,0.0001336408380543969
day,0.00013467736715826358
toilet,0.00013588694223806675
lawyer,0.00013693898854069643
mexico,0.00013763929201144232
service,0.000137735006911843
hunter laptop,0.00013861804776919135
insult,0.0001396780622358848
man,0.00014383759900307106
lunatic,0.00014548580269512076
slow,0.00014583561984541943
official,0.00014972110396671806
human trafficker,0.0001507919067923923
invasion,0.00015096437219762446
end,0.0001522648950810549
family,0.00015393778332545554
usa,0.00015503222998828822
states america,0.00015509585186359649
staff,0.00015879717769718668
pay,0.00016165369905024346
couple,0.00016668387818505076
loud,0.00017190494379745665
national,0.00017731584436845617
old man,0.00017947486612902066
report,0.00018116284084636087
approval,0.0001837058362130518
kamala harris,0.00018441841057513237
pipeline,0.00018783896464097762
democracy,0.00018914687943958784
distraction,0.0001891826207414279
aware,0.00018934735015737594
department,0.0001921230629740067
border wall,0.0001939090201591591
biden people,0.00019425244007903925
disgraceful,0.00019566451978221127
thing biden,0.00019781638949828922
dog,0.00019982711856701316
homeland,0.0002012036369323137
abortion,0.00020234047837099903
lack,0.00020369047012753637
trip,0.00020495938579900743
crazy,0.0002051895428923419
decade,0.0002072001960384427
opposition,0.0002073621491145098
ad,0.0002083014165670809
bed,0.00020928550917298798
donald,0.00021120100803916466
operation,0.0002140139445094523
perfect,0.00021456199638228
course,0.00021483894899706796
woke,0.00021591426971966305
young,0.00021623499316229399
sheep,0.0002165810561394223
rating,0.00021887708272387996
health,0.0002210663218316429
interested,0.0002214912723890152
short,0.00022238848046330847
protection,0.0002240828078692008
resident,0.00022453456478676833
drug dealer,0.00023033229057905477
dealer,0.00023033229057905477
weak,0.0002333514030865365
border biden,0.0002343511697240137
bribe,0.00023502557761038002
problem,0.0002378223135815552
campaign,0.00023878699852243135
globalist,0.0002431647837715297
president biden,0.00024481646164619796
federal government,0.0002464526243514302
lie,0.00024969262070940416
hour,0.00025500082771671994
biden open,0.0002567216987215465
bank account,0.00025672336561301663
non,0.0002614265501742091
biden weak,0.00026369762344229054
trafficker,0.00026505591052087505
dangerous,0.000265545105677254
mental,0.00026725231143952125
body,0.000272263816265919
activist,0.00027441951543799787
fbi,0.0002746052103840134
private,0.0002756963425025301
united,0.0002758228914649756
organization,0.0002794667492121519
desperate,0.00028228249063650974
biden bad,0.00028536830452225467
fox news,0.00028542667875243563
deal,0.000287178130293914
tax dollar,0.00029006596162699277
boarder,0.0002991129458459864
destruction,0.0003039913275621641
machine,0.00030716346139982937
ready,0.00030850663060240244
inflation,0.0003093931764276153
demon,0.0003142056353034663
president country,0.0003156500432173933
unbelievable,0.00032133448383264674
trouble,0.00032448781009929346
taxpayer,0.00033006889128872705
program,0.0003343840932146856
board,0.00034061654813754823
absolute,0.0003443114541173735
concerned,0.00034494268028122533
illegal alien,0.0003468110444762132
basic,0.0003489647079062254
desantis,0.00034904168310494665
ability,0.0003499205635412743
people border,0.0003507182357273708
mess,0.0003515861282214392
good thing,0.00035556198380017523
local,0.00035609856223883183
fentanyl,0.0003563275462121844
radical,0.00035847773479328097
violation,0.00035850444045553765
list,0.00036174523482975315
trial,0.0003622946283486863
high,0.0003630598774499124
hand,0.00036532925357694347
green,0.0003665792432145337
pos,0.00036832398946760577
creepy joe,0.0003698694646181367
master,0.00037017046330820144
kick,0.0003750587491850462
fed,0.00037536783247205064
post,0.00037750652171409944
biden family,0.0003804905679758543
plane,0.00038418484582842464
supreme court,0.00038602030353235576
homeland security,0.00038612260598416874
demented,0.0003875917891500675
disgrace,0.0003894237957362363
letter,0.00038952521899362266
payer,0.00039187787945131814
tax payer,0.00039187787945131814
supreme,0.00039321704858835536
press,0.00039380328244590593
great job,0.0004001010614679651
ear,0.0004005024601261533
work,0.00040195231260819293
citizenship,0.0004051758204816561
disinformation,0.0004119367416516793
disaster,0.00041258996016020123
harris pelosi,0.00041687536884442856
incompetence,0.0004184020259268131
legislation,0.000420772130871777
tax,0.0004208138196770588
delaware,0.00042081877733473184
misinformation,0.0004210852860365773
average,0.00042121049744955587
leader,0.0004218233075455832
climate,0.0004248294237950022
gov,0.00042816606657071786
schumer,0.00042934578993036686
current administration,0.00043043591920110527
taxis,0.00043060381195296406
brother,0.0004337066842256021
intention,0.000433935239278323
common sense,0.00043631069768688404
woman,0.0004364435104376339
senate,0.00043676147700411316
hillary,0.0004368302838088696
foreign,0.0004372103419909485
administration border,0.0004376702688908366
human trafficking,0.00043820168211824496
wonder,0.0004410903671512724
surprised,0.0004430645687409423
basement,0.0004434183874225068
public,0.0004434288150133884
act,0.0004435835223018526
team,0.00044488316803481656
minion,0.0004462802880194392
marxist,0.0004469687564231676
elite,0.00045240432307336635
biden big,0.000454550774835362
msm,0.0004567188273394753
daily,0.0004578559806361305
respect,0.00045847695245332094
joey,0.0004625020642451649
biden drug,0.0004643672220857635
qualified,0.0004659678183752163
trucker,0.0004662080149972169
doj,0.00046937463303108257
biden illegal,0.0004700630767690764
flight,0.00047434643085099773
president history,0.0004801891136931507
publicity stunt,0.0004807899307756391
domestic,0.00048369724678728397
id,0.00048616003458029297
trumps,0.0004914915125404983
sleepy joe,0.0004953417741001384
handler,0.0004960218541439994
crooked,0.0004997638380594865
worth,0.0005006075903971877
mistake,0.0005028488275132805
platform,0.0005035586526309499
states,0.0005049713307492519
fjb,0.000511460418406099
night,0.0005127233774172056
united states,0.0005127698990766638
alien,0.0005159756589479723
current,0.0005168975721225874
dirty,0.0005178221388821213
potato,0.0005233672076621365
drunk,0.0005235744465304371
complicit,0.0005244038936997545
immigration law,0.0005265121288296017
lame,0.0005272699897876347
nursing home,0.0005289646291259021
nursing,0.0005289646291259021
nose,0.0005317710972513844
biden america,0.0005333888886374341
security,0.0005383651263444587
busy,0.0005393304386853081
govt,0.0005394489704870727
clueless,0.0005398938963016716
eye,0.0005399031959320605
knee,0.0005402080016533597
career,0.0005432832007026159
biden crime,0.0005461851820651625
crack,0.000551979440540025
disgusting,0.0005532706609583304
ball,0.0005567876743523711
month,0.0005592951847301995
multiple,0.0005603676085634105
presidential,0.0005603821670951768
purpose,0.000560692716605722
border crisis,0.0005613006884546224
obvious,0.0005641941484543815
secretary,0.000565667144590046
tv,0.0005663554457727198
vaccine,0.0005680376285698363
publicity,0.000569651336839887
touch,0.0005716327019493891
attitude,0.0005728584524612678
biden office,0.0005791611040138905
arrest,0.0005792214252178608
energy,0.0005796616922304672
accountability,0.0005830070603222079
matt,0.0005861679565676307
embarrassment,0.0005889015308324353
possible,0.000589514354745898
thing,0.0005902784500751591
cognitive,0.0005904817818609279
cell,0.0005924184808554829
entire,0.000595890849982475
biden obama,0.0005961675948011336
covid,0.0005972994500221703
anti american,0.0006016165117044806
cnn,0.0006036470097623005
border open,0.0006061472956127896
activity,0.0006074979542652774
percent,0.0006111388846865924
tyrant,0.0006113903385013364
insane,0.0006163976766918131
court,0.0006191821142561879
senator,0.0006205807313914825
rule,0.0006214219476745246
dementia,0.0006287243465051466
watch,0.0006339522186382351
generation,0.0006407010657978633
economy,0.0006409733856439765
mail,0.0006455312047742517
reason,0.0006476106066632781
damage,0.0006478297820405722
dereliction,0.0006509065765273123
dereliction duty,0.0006509065765273123
terrorist,0.0006533849755464573
butt,0.0006593461254202741
talk,0.0006611814505212867
crisis,0.0006639371673743664
member,0.0006678972400276334
lip,0.0006680900228889753
crime family,0.0006688555091147103
cartels,0.0006690718753785696
stupid people,0.0006693967184490503
cream,0.0006712742568660518
ice cream,0.0006712742568660518
mitch,0.0006753119739560049
democratic party,0.0006800302994929828
november,0.0006876345758216758
kickback,0.0006897803930663484
biden president,0.0007014583216081787
hole,0.0007032894879715669
trafficking,0.0007150212368190729
midterm,0.0007160350202219067
big guy,0.0007177514741143852
step,0.0007211366062792634
clinton,0.0007242791026835239
secret,0.0007299435017827585
people biden,0.0007494591834773279
great,0.0007495378121034491
illegitimate,0.0007528919501992197
jen,0.0007556712414850015
administration law,0.0007583133707683074
california,0.0007608497174817307
head,0.0007692963249130371
term,0.0007720886572450078
msnbc,0.0007766449356542295
vice president,0.0007849707625169007
southern border,0.0007862904265864767
blind,0.000797926594657917
chaos,0.0008166885673033157
washington,0.0008189868962674041
question,0.000819991207132682
plan,0.0008290851634572204
rest,0.0008403586740029549
democrat party,0.000847188230662733
charge,0.0008527038691558786
female,0.0008546807616935349
chief,0.0008649749042346599
socialist,0.0008708553332549734
fool,0.0008830891651602432
speech,0.0008853685686609518
nancy pelosi,0.0008859532096095283
lawlessness,0.0008874492217325683
biden regime,0.0008881438195621972
leadership,0.0008971403929991982
incompetent,0.000900422101443619
crook,0.0009018137436951423
obiden,0.0009057587684183862
boss,0.0009082727600225227
responsible,0.0009100132630827844
